,単語,出現数,割合（出現数/総数:7487）
0,月,243,3.246%
1,株式会社,225,3.005%
2,工場,157,2.097%
3,製品,140,1.87%
4,セメント,135,1.803%
5,事業,132,1.763%
6,本社,125,1.67%
7,会社,119,1.589%
8,メーカー,118,1.576%
9,陶器,112,1.496%
10,ガラス,95,1.269%
11,企業,83,1.109%
12,グループ,68,0.908%
13,子会社,65,0.868%
14,技術,61,0.815%
15,陶,58,0.775%
16,社名,55,0.735%
17,工業,55,0.735%
18,耐火,47,0.628%
19,砥石,46,0.614%
20,世界,41,0.548%
21,部門,41,0.548%
22,ノリ,40,0.534%
23,石英,40,0.534%
24,食器,39,0.521%
25,国内,38,0.508%
26,同社,37,0.494%
27,商品,33,0.441%
28,セラミックス,32,0.427%
29,陶磁器,28,0.374%
30,建材,27,0.361%
31,産業,27,0.361%
32,社長,26,0.347%
33,シェア,26,0.347%
34,材料,25,0.334%
35,コンクリート,25,0.334%
36,Ltd,25,0.334%
37,株式,25,0.334%
38,衛生,25,0.334%
39,Co,23,0.307%
40,分野,23,0.307%
41,自動車,22,0.294%
42,主力,22,0.294%
43,基板,22,0.294%
44,タケ,22,0.294%
45,売上,20,0.267%
46,環境,20,0.267%
47,断熱,20,0.267%
48,セラミック,20,0.267%
49,電子,20,0.267%
50,TOTO,19,0.254%
51,親会社,19,0.254%
52,住宅,19,0.254%
53,市場,19,0.254%
54,大手,18,0.24%
55,部品,18,0.24%
56,瓦,18,0.24%
57,化学,18,0.24%
58,タイル,17,0.227%
59,需要,17,0.227%
60,トイレ,17,0.227%
61,海外,17,0.227%
62,繊維,17,0.227%
63,英文,16,0.214%
64,株主,16,0.214%
65,INAX,16,0.214%
66,名称,16,0.214%
67,半導体,16,0.214%
68,硝子,16,0.214%
69,原料,15,0.2%
70,証券,15,0.2%
71,磁器,15,0.2%
72,研削,15,0.2%
73,資本,15,0.2%
74,CO,14,0.187%
75,LTD,14,0.187%
76,ブランド,14,0.187%
77,業務,14,0.187%
78,プラント,14,0.187%
79,炭,14,0.187%
80,ペースト,14,0.187%
81,布,13,0.174%
82,拠点,13,0.174%
83,業界,13,0.174%
84,窯業,13,0.174%
85,中心,13,0.174%
86,価格,13,0.174%
87,機材,13,0.174%
88,ノリタケグループ,13,0.174%
89,傘下,12,0.16%
90,一般,12,0.16%
91,ビル,12,0.16%
92,機器,12,0.16%
93,東洋,12,0.16%
94,一つ,12,0.16%
95,ファインセラミックス,12,0.16%
96,ウール,12,0.16%
97,石膏,12,0.16%
98,ヒューム,12,0.16%
99,性能,11,0.147%
100,合弁,11,0.147%
101,体制,11,0.147%
102,機械,11,0.147%
103,浴槽,11,0.147%
104,各種,10,0.134%
105,組合,10,0.134%
106,A,10,0.134%
107,ショールーム,10,0.134%
108,敷地,10,0.134%
109,法人,10,0.134%
110,東,10,0.134%
111,研究所,10,0.134%
112,洋食,10,0.134%
113,瓶,10,0.134%
114,ウェッジウッド,10,0.134%
115,所在地,9,0.12%
116,能力,9,0.12%
117,規模,9,0.12%
118,持株,9,0.12%
119,比率,9,0.12%
120,ロゴ,9,0.12%
121,ホールディングス,9,0.12%
122,内容,9,0.12%
123,素材,9,0.12%
124,Corporation,9,0.12%
125,炭素,9,0.12%
126,大型,9,0.12%
127,ホテル,9,0.12%
128,セット,9,0.12%
129,ボーンチャイナ,9,0.12%
130,シール,9,0.12%
131,前身,8,0.107%
132,LIXIL,8,0.107%
133,最大,8,0.107%
134,資料,8,0.107%
135,両社,8,0.107%
136,トップ,8,0.107%
137,商標,8,0.107%
138,鉄,8,0.107%
139,鉱業,8,0.107%
140,熱,8,0.107%
141,用途,8,0.107%
